InputID,TargetID,Distance
P.S. 001 COURTLANDT SCHOOL,MELROSE LIBRARY,2858.09899127
P.S. 002 MORRISANIA,MORRISANIA LIBRARY,270.367881849
P.S. 3 RAUL JULIA MICRO SOCIETY,BELMONT LIBRARY,1992.29238225
P.S./M.S. 004 CROTONA PARK WEST,TREMONT LIBRARY,1698.0309833
P.S. 005 PORT MORRIS,WOODSTOCK LIBRARY,2799.14222162
P.S. 006 WEST FARMS,WEST FARMS LIBRARY,1485.47258598
P.S. 007 KINGSBRIDGE,KINGSBRIDGE LIBRARY,660.688224892
P.S. 008 ISSAC VARIAN,MOSHOLU LIBRARY,1589.40412887
RYER AVENUE ELEMENTARY SCHOOL,BRONX LIBRARY CENTER,2499.55234886
P.S. 011 HIGHBRIDGE,HIGH BRIDGE LIBRARY,790.553377691
P.S. X014 SENATOR JOHN CALANDRA,PELHAM BAY LIBRARY,3136.3423975
P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,FRANCIS MARTIN LIBRARY,513.687656546
P.S. 016 WAKEFIELD,WOODLAWN HEIGHTS LIBRARY,3684.38724456
P.S. 018 JOHN PETER ZENGER,MOTT HAVEN LIBRARY,1759.9861409
P.S. 019 JUDITH K. WEISS,WOODLAWN HEIGHTS LIBRARY,435.594024635
P.S. 20 P.O.GEORGE J. WERDAN III,MOSHOLU LIBRARY,1615.42151162
P.S. 021 PHILLIP H. SHERIDAN,WAKEFIELD LIBRARY,1280.52438185
J.H.S. 022 JORDAN L. MOTT,MELROSE LIBRARY,2580.01017843
P.S. 024 SPUYTEN DUYVIL,SPUYTEN DUYVIL LIBRARY,388.947628241
P.S. 025 BILINGUAL SCHOOL,WOODSTOCK LIBRARY,2967.7518006
P.S. 028 MOUNT HOPE,TREMONT LIBRARY,1607.68646882
P.S./M.S. 029 MELROSE SCHOOL,MELROSE LIBRARY,1768.89166027
P.S. 030 WILTON,MOTT HAVEN LIBRARY,2058.49407665
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,MELROSE LIBRARY,1658.22785733
P.S. 032 BELMONT,BELMONT LIBRARY,978.436069362
P.S. 033 TIMOTHY DWIGHT,BRONX LIBRARY CENTER,2043.75834248
P.S. 035 FRANZ SIEGEL,MELROSE LIBRARY,263.079562452
P.S. 036 UNIONPORT,CASTLE HILL LIBRARY,991.632936431
P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,KINGSBRIDGE LIBRARY,763.868388736
P.S. 041 GUN HILL ROAD,MOSHOLU LIBRARY,2817.03424665
P.S. 042 CLAREMONT,MORRISANIA LIBRARY,2580.41131102
P.S. 043 JONAS BRONCK,MOTT HAVEN LIBRARY,2113.8068088
P.S. 044 DAVID C. FARRAGUT,WEST FARMS LIBRARY,2412.08258119
J.H.S. 045 THOMAS C. GIORDANO,BELMONT LIBRARY,1729.4699409
P.S. 046 EDGAR ALLAN POE,BRONX LIBRARY CENTER,1744.09971907
P.S. 047 JOHN RANDOLPH,PARKCHESTER LIBRARY,2364.79751852
P.S. 048 JOSEPH R. DRAKE,HUNTS POINT LIBRARY,2528.5773484
P.S. 049 WILLIS AVENUE,MOTT HAVEN LIBRARY,664.254854004
P.S. 050 CLARA BARTON,CLASON'S POINT LIBRARY,3777.7308605
P.S. 051 BRONX NEW SCHOOL,VAN CORTLANDT LIBRARY,2670.79145551
P.S. 053 BASHEER QUISIM,MORRISANIA LIBRARY,2589.6065207
P.S. / I.S. 54,BRONX LIBRARY CENTER,1934.20940899
P.S. 055 BENJAMIN FRANKLIN,MORRISANIA LIBRARY,2062.58942007
P.S. 057 CRESCENT,WEST FARMS LIBRARY,2043.58786131
P.S. 058,TREMONT LIBRARY,256.446053932
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,BELMONT LIBRARY,1662.14629232
P.S. 061 FRANCISCO OLLER,MORRISANIA LIBRARY,3148.7959056
P.S. 062 INOCENSIO CASANOVA,HUNTS POINT LIBRARY,2461.29255989
P.S. 063 AUTHOR'S ACADEMY,MORRISANIA LIBRARY,270.367881849
P.S. 064 PURA BELPRE,GRAND CONCOURSE LIBRARY,2084.65879605
P.S. 065 MOTHER HALE ACADEMY,MOTT HAVEN LIBRARY,3562.26117876
P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,CLASON'S POINT LIBRARY,3368.83435362
P.S. 067 MOHEGAN SCHOOL,WEST FARMS LIBRARY,540.045475315
P.S. 068 BRONX,EDENWALD LIBRARY,1227.40860126
P.S. 069 THE NEW VISION SCHOOL,SOUNDVIEW LIBRARY,924.549299546
P.S. 070 MAX SCHOENFELD,GRAND CONCOURSE LIBRARY,686.618013397
P.S. 071 ROSE E. SCALA,PELHAM BAY LIBRARY,759.47467237
P.S. 072 DR. WILLIAM DORNEY,THROG'S NECK LIBRARY,259.524153442
P.S. 073 BRONX,HIGH BRIDGE LIBRARY,2069.66371646
P.S. 075,HUNTS POINT LIBRARY,1967.63943361
P.S. 076 THE BENNINGTON SCHOOL,ALLERTON LIBRARY,1141.815632
P.S. 078 ANNE HUTCHINSON,EASTCHESTER LIBRARY,3523.81914517
P.S. 079 CRESTON,FRANCIS MARTIN LIBRARY,1862.9158644
P.S. 081 ROBERT J. CHRISTEN,RIVERDALE LIBRARY,704.660193215
P.S. 083 DONALD HERTZ,MORRIS PARK LIBRARY,783.693694309
P.S. 085 GREAT EXPECTATIONS,BRONX LIBRARY CENTER,1429.38322224
P.S. 086 KINGSBRIDGE HEIGHTS,JEROME PARK LIBRARY,743.14725529
P.S. 087 BRONX,EDENWALD LIBRARY,2674.75808222
P.S. 089 BRONX,ALLERTON LIBRARY,1727.45323059
P.S. 090 GEORGE MEANY,MELROSE LIBRARY,1972.72090211
P.S. 091 BRONX,FRANCIS MARTIN LIBRARY,507.767400911
P.S. 092 BRONX,WEST FARMS LIBRARY,1997.23757658
P.S. 093 ALBERT G. OLIVER,CLASON'S POINT LIBRARY,3036.02399024
P.S. 094 KINGS COLLEGE SCHOOL,MOSHOLU LIBRARY,2339.06816334
P.S. 095 SHEILA MENCHER,VAN CORTLANDT LIBRARY,747.238651797
P.S. 096 RICHARD RODGERS,ALLERTON LIBRARY,2604.34449351
P.S. 097 BRONX,EASTCHESTER LIBRARY,2693.41974238
J.H.S. 098 HERMAN RIDDER,MORRISANIA LIBRARY,3562.70589538
P.S. 100 ISAAC CLASON,SOUNDVIEW LIBRARY,1090.63269307
M.S. X101 EDWARD R. BYRNE,THROG'S NECK LIBRARY,3386.91999061
